股票,牛市天数,牛市占比%,数据起始,数据结束,宽松版(ADX>20)★_年化%,宽松版(ADX>20)★_回撤%,宽松版(ADX>20)★_胜率%,宽松版(ADX>20)★_夏普,宽松版(ADX>20)★_交易数,严格版(ADX>25)_年化%,严格版(ADX>25)_回撤%,严格版(ADX>25)_胜率%,严格版(ADX>25)_夏普,严格版(ADX>25)_交易数,EMA10/20无ADX_年化%,EMA10/20无ADX_回撤%,EMA10/20无ADX_胜率%,EMA10/20无ADX_夏普,EMA10/20无ADX_交易数,MACD确认替代_年化%,MACD确认替代_回撤%,MACD确认替代_胜率%,MACD确认替代_夏普,MACD确认替代_交易数,B&H_年化%,B&H_回撤%,B&H_夏普,超额收益%
CVX,448,41.6,2022-01-03,2026-04-17,-0.4,15.29,25.0,0.02,4,-1.65,15.54,33.3,-0.13,3,-10.84,41.48,11.1,-0.59,18,-13.78,38.07,5.3,-1.09,19,16.04,13.77,0.91,-16.44
D,451,41.9,2022-01-03,2026-04-17,-6.67,18.53,22.2,-0.59,9,-1.92,10.28,60.0,-0.23,5,-2.34,18.58,40.0,-0.08,11,-0.7,15.22,33.3,0.02,13,20.83,12.64,1.28,-27.5
DAL,507,47.1,2022-01-03,2026-04-17,17.61,12.87,62.5,1.17,8,12.35,11.42,80.0,0.99,5,16.91,22.64,36.4,0.94,12,23.85,13.61,45.5,1.54,12,38.59,20.61,1.2,-20.98
DASH,655,49.3,2021-01-04,2026-04-17,22.8,22.14,55.6,1.28,9,4.91,22.35,18.2,0.42,11,18.22,29.45,54.5,0.91,11,12.71,21.2,56.2,0.85,16,3.16,75.79,0.57,19.64
DAY,159,31.6,2024-02-01,2026-02-03,-1.22,0.77,0.0,-2.77,1,0.0,0.0,0.0,0.0,0,-8.65,7.69,25.0,-1.21,5,-3.07,1.95,25.0,-1.98,4,-14.1,21.23,-0.7,12.88
DD,570,53.0,2022-01-03,2026-04-17,0.48,19.64,28.6,0.12,7,-2.61,18.22,33.3,-0.21,6,-2.02,34.09,37.5,-0.01,17,-1.87,18.45,36.8,-0.08,20,26.47,17.3,1.29,-25.99
DDOG,549,41.3,2021-01-04,2026-04-17,-5.2,21.11,25.0,-0.09,8,-13.82,28.85,14.3,-0.87,7,-18.52,56.25,30.8,-0.47,13,-26.32,49.15,26.7,-1.34,15,-5.15,56.21,0.23,-0.05
DECK,606,56.3,2022-01-03,2026-04-17,14.57,20.66,63.6,0.81,11,4.14,18.33,50.0,0.39,10,20.75,24.9,58.3,0.96,12,17.47,22.52,60.0,0.93,15,29.6,53.27,1.0,-15.03
DELL,524,48.7,2022-01-03,2026-04-17,33.7,42.37,25.0,1.06,9,5.02,38.52,36.4,0.37,12,49.95,42.04,36.4,1.32,12,13.27,37.03,31.2,0.61,17,111.28,39.28,1.87,-77.58
DHI,612,56.9,2022-01-03,2026-04-17,12.31,18.04,42.9,0.89,7,6.26,14.55,71.4,0.58,7,5.21,34.79,38.5,0.4,13,0.17,28.13,35.0,0.12,20,28.72,26.69,1.16,-16.41
DHR,296,27.5,2022-01-03,2026-04-17,-1.81,6.78,33.3,-0.25,3,-6.84,7.98,0.0,-2.2,2,-10.23,20.02,28.6,-0.78,7,1.99,11.32,57.1,0.29,7,-11.24,24.74,-0.38,9.43
DIS,286,26.6,2022-01-03,2026-04-17,-8.53,18.55,25.0,-0.95,4,-5.15,15.36,25.0,-0.63,4,5.04,21.53,16.7,0.45,7,-12.51,16.49,0.0,-1.96,7,24.91,19.15,1.01,-33.44
DLR,527,49.0,2022-01-03,2026-04-17,-3.69,19.28,14.3,-0.2,8,-2.7,16.82,14.3,-0.21,8,0.97,29.19,25.0,0.18,13,-6.4,36.48,36.8,-0.38,20,36.66,16.97,1.53,-40.35
DLTR,240,22.3,2022-01-03,2026-04-17,5.66,18.58,40.0,0.45,5,3.19,13.89,66.7,0.32,3,8.01,20.0,50.0,0.52,4,13.17,16.46,60.0,0.92,5,-31.52,45.96,-0.55,37.18
DOV,540,50.2,2022-01-03,2026-04-17,-8.44,21.7,15.4,-0.88,13,-2.01,13.21,14.3,-0.26,7,-0.96,23.03,26.7,0.05,16,-7.14,21.46,42.9,-0.61,22,28.31,14.14,1.46,-36.75
DRI,563,52.3,2022-01-03,2026-04-17,-14.51,31.36,31.2,-1.52,16,-10.99,22.9,12.5,-1.58,8,4.13,12.88,53.8,0.37,13,-10.09,27.2,31.6,-1.07,19,26.3,10.97,1.29,-40.81
