股票,牛市天数,牛市占比%,数据起始,数据结束,宽松版(ADX>20)★_年化%,宽松版(ADX>20)★_回撤%,宽松版(ADX>20)★_胜率%,宽松版(ADX>20)★_夏普,宽松版(ADX>20)★_交易数,严格版(ADX>25)_年化%,严格版(ADX>25)_回撤%,严格版(ADX>25)_胜率%,严格版(ADX>25)_夏普,严格版(ADX>25)_交易数,EMA10/20无ADX_年化%,EMA10/20无ADX_回撤%,EMA10/20无ADX_胜率%,EMA10/20无ADX_夏普,EMA10/20无ADX_交易数,MACD确认替代_年化%,MACD确认替代_回撤%,MACD确认替代_胜率%,MACD确认替代_夏普,MACD确认替代_交易数,B&H_年化%,B&H_回撤%,B&H_夏普,超额收益%
SYK,603,56.0,2022-01-03,2026-04-17,6.47,11.15,53.8,0.7,13,6.65,9.64,62.5,0.76,8,10.64,12.89,41.7,0.85,12,1.05,14.34,50.0,0.19,16,23.29,10.56,1.38,-16.82
SYY,287,26.7,2022-01-03,2026-04-17,-3.37,7.54,33.3,-0.42,6,-0.75,7.54,33.3,-0.09,3,-2.65,8.52,50.0,-0.16,4,-10.28,15.0,22.2,-1.51,9,12.24,10.96,0.75,-15.61
T,548,50.9,2022-01-03,2026-04-17,13.29,14.81,50.0,1.0,8,2.38,20.18,33.3,0.28,9,12.75,19.42,36.4,0.84,11,-3.55,20.52,31.6,-0.24,19,29.42,15.54,1.54,-16.13
TAP,266,24.7,2022-01-03,2026-04-17,-6.15,15.69,25.0,-0.48,4,-2.07,11.81,50.0,-0.17,2,9.31,18.87,20.0,0.71,5,-12.24,14.36,16.7,-1.34,6,1.45,25.46,0.22,-7.6
TDG,602,55.9,2022-01-03,2026-04-17,-0.16,22.87,23.1,0.09,13,10.55,9.57,40.0,1.1,10,30.53,13.72,55.6,1.71,9,5.14,16.76,38.9,0.54,18,44.37,14.37,2.0,-44.53
TDY,510,47.4,2022-01-03,2026-04-17,-1.32,15.2,30.0,-0.04,10,-0.22,9.34,37.5,0.04,8,0.63,13.77,46.2,0.15,14,2.37,16.11,38.5,0.31,14,25.62,15.18,1.24,-26.94
TEAM,327,24.6,2021-01-04,2026-04-17,3.42,21.43,66.7,0.31,3,-12.17,24.49,33.3,-0.55,3,1.29,22.67,60.0,0.24,5,9.15,26.79,60.0,0.56,5,-36.81,62.97,-0.31,40.23
TEL,594,55.2,2022-01-03,2026-04-17,7.37,15.67,40.0,0.71,5,4.66,14.03,20.0,0.5,5,-13.86,39.06,15.0,-0.75,21,-7.58,23.05,27.3,-0.49,23,36.42,15.91,1.57,-29.05
TER,467,43.4,2022-01-03,2026-04-17,-4.05,38.99,25.0,0.06,13,-2.1,36.8,28.6,0.1,7,33.5,37.17,23.1,1.07,14,9.33,22.89,31.2,0.55,17,105.0,30.75,2.04,-109.05
TFC,478,44.4,2022-01-03,2026-04-17,-0.6,15.97,22.2,0.03,9,-1.61,8.55,33.3,-0.14,6,-4.54,21.26,30.0,-0.24,11,6.25,10.45,45.5,0.63,12,12.93,21.66,0.7,-13.53
TGT,246,22.9,2022-01-03,2026-04-17,1.94,12.48,66.7,0.24,3,-6.41,8.34,0.0,-1.2,1,-29.94,41.76,12.5,-1.08,9,-2.63,17.0,14.3,-0.1,8,-14.53,38.94,-0.17,16.47
TMO,344,32.0,2022-01-03,2026-04-17,1.26,5.53,100.0,0.26,3,-1.88,5.53,0.0,-0.55,1,-8.0,12.93,25.0,-0.63,8,5.13,6.76,83.3,0.63,6,-7.82,21.99,-0.2,9.08
TMUS,662,49.8,2021-01-04,2026-04-17,10.25,9.77,45.5,0.96,11,8.7,7.32,62.5,0.96,8,1.1,27.83,46.2,0.18,14,1.88,16.29,35.0,0.25,21,26.19,14.68,1.34,-15.94
TPL,433,40.2,2022-01-03,2026-04-17,14.03,27.88,37.5,0.71,8,-11.7,39.29,25.0,-0.42,8,5.09,48.05,33.3,0.39,12,6.21,27.2,27.3,0.44,11,46.21,39.86,1.15,-32.18
TPR,689,64.0,2022-01-03,2026-04-17,29.31,22.82,38.5,1.32,13,9.95,21.87,33.3,0.63,9,41.0,28.44,40.0,1.54,16,30.81,18.21,55.6,1.72,19,73.78,31.78,1.97,-44.47
TRGP,654,60.8,2022-01-03,2026-04-17,48.61,11.01,100.0,2.91,5,35.88,11.01,100.0,2.41,5,36.41,25.02,41.7,1.74,12,20.21,15.19,42.1,1.44,19,67.0,20.21,2.5,-18.39
TRMB,412,38.3,2022-01-03,2026-04-17,4.88,12.24,40.0,0.6,5,11.08,8.19,66.7,1.33,3,0.72,25.88,23.1,0.17,13,-5.95,18.12,25.0,-0.45,12,23.51,16.52,1.02,-18.63
TROW,323,30.0,2022-01-03,2026-04-17,-9.38,16.13,0.0,-1.25,4,-3.34,8.4,0.0,-0.6,2,-13.08,20.82,22.2,-0.76,9,-9.53,18.92,33.3,-1.12,9,0.08,15.44,0.16,-9.46
TRV,680,63.2,2022-01-03,2026-04-17,-3.76,26.5,30.8,-0.25,13,-2.56,23.55,20.0,-0.28,10,3.14,15.49,46.7,0.32,16,-2.04,17.36,34.8,-0.12,24,22.45,12.47,1.24,-26.21
TSCO,467,43.4,2022-01-03,2026-04-17,-3.27,20.98,30.0,-0.18,10,-6.82,20.73,16.7,-0.63,6,-6.22,20.41,41.7,-0.32,12,0.04,14.84,40.0,0.08,15,14.06,13.12,0.8,-17.33
TSLA,406,37.7,2022-01-03,2026-04-17,8.19,28.73,25.0,0.49,8,9.41,20.96,40.0,0.57,5,-0.55,37.0,11.1,0.22,9,20.43,18.67,62.5,0.92,8,31.41,41.24,0.9,-23.22
TSN,322,29.9,2022-01-03,2026-04-17,1.44,18.12,28.6,0.21,7,6.22,12.32,50.0,0.7,4,-3.05,17.93,33.3,-0.11,10,8.84,6.97,50.0,0.97,9,22.2,12.41,1.18,-20.76
TTD,388,36.1,2022-01-03,2026-04-17,8.05,27.97,50.0,0.55,8,8.97,16.43,50.0,0.69,4,15.03,39.34,50.0,0.73,6,-16.22,34.87,38.5,-1.06,13,59.86,22.46,1.66,-51.81
TTWO,584,44.0,2021-01-04,2026-04-17,2.56,13.38,33.3,0.29,9,0.8,11.73,33.3,0.15,9,-6.49,38.28,50.0,-0.09,12,7.27,12.04,47.1,0.68,17,16.27,33.88,0.76,-13.71
TXN,476,35.8,2021-01-04,2026-04-17,-9.85,29.91,20.0,-0.72,6,-10.52,21.59,0.0,-1.26,6,-29.61,53.79,5.3,-1.81,20,-14.97,33.32,18.8,-0.97,17,16.86,16.89,0.76,-26.71
TXT,554,51.5,2022-01-03,2026-04-17,-12.76,27.88,16.7,-1.06,13,-5.82,20.98,37.5,-0.51,8,-11.02,26.18,15.4,-0.73,14,-0.08,15.29,46.7,0.06,16,10.57,20.49,0.63,-23.33
UDR,277,25.7,2022-01-03,2026-04-17,-1.77,10.06,40.0,-0.23,5,-0.08,4.75,50.0,0.02,2,-5.95,13.65,33.3,-0.44,9,2.41,9.9,57.1,0.35,7,-0.84,15.75,0.08,-0.93
UHS,495,46.0,2022-01-03,2026-04-17,-9.48,37.11,33.3,-0.44,12,-11.78,35.2,44.4,-0.7,9,-0.89,26.73,50.0,0.1,10,-3.23,24.39,42.9,-0.11,14,23.42,21.76,1.01,-32.9
UNP,381,35.4,2022-01-03,2026-04-17,-1.12,10.06,25.0,-0.09,9,-1.96,10.24,25.0,-0.31,4,6.95,16.24,50.0,0.6,9,8.53,14.13,22.2,1.05,10,17.18,13.43,1.04,-18.3
UPS,154,14.3,2022-01-03,2026-04-17,-7.76,10.34,0.0,-0.66,2,-16.78,10.62,0.0,-2.04,3,-17.5,17.75,0.0,-1.23,4,-1.87,9.78,0.0,-0.1,3,-44.59,43.29,-1.03,36.83
URI,660,61.3,2022-01-03,2026-04-17,14.9,28.47,55.6,0.84,9,-10.36,36.34,22.2,-0.61,9,11.85,27.47,35.3,0.64,17,6.96,26.14,31.8,0.52,22,40.9,26.75,1.37,-26.0
USB,500,46.5,2022-01-03,2026-04-17,3.08,13.65,42.9,0.33,8,0.07,17.02,40.0,0.08,5,13.4,12.41,41.7,0.95,13,5.39,12.72,40.0,0.58,16,16.45,16.66,0.88,-13.37
V,644,59.9,2022-01-03,2026-04-17,3.87,14.33,33.3,0.5,9,0.84,17.4,28.6,0.17,7,-0.87,25.61,33.3,0.01,19,-0.74,16.76,42.1,-0.03,19,23.56,15.01,1.52,-19.69
VFC,237,22.0,2022-01-03,2026-04-17,-6.74,31.13,33.3,-0.11,4,-30.58,33.53,25.0,-1.46,4,7.03,31.13,50.0,0.44,5,14.26,15.28,50.0,0.82,7,33.33,44.71,0.94,-40.07
VICI,403,37.5,2022-01-03,2026-04-17,-3.41,10.13,40.0,-0.5,10,-0.49,5.22,40.0,-0.13,5,-3.34,16.31,27.3,-0.23,11,-2.99,14.98,30.0,-0.33,10,12.24,9.47,0.87,-15.65
VLO,552,51.3,2022-01-03,2026-04-17,-7.44,39.72,38.5,-0.27,13,-2.55,27.14,42.9,-0.06,7,-2.23,39.3,26.7,0.06,15,-1.54,25.95,35.3,0.02,17,40.52,24.78,1.4,-47.96
VRSK,615,46.3,2021-01-04,2026-04-17,-1.0,16.04,27.3,-0.04,11,1.18,10.46,33.3,0.21,6,0.54,22.63,25.0,0.14,16,1.68,13.79,37.5,0.26,16,15.57,21.04,0.95,-16.57
VRSN,391,36.3,2022-01-03,2026-04-17,18.39,9.36,28.6,1.4,7,8.57,8.22,40.0,0.86,5,18.44,13.78,42.9,1.14,7,-6.55,20.11,30.8,-0.51,13,19.69,19.68,1.03,-1.3
VRT,749,69.6,2022-01-03,2026-04-17,71.49,40.77,46.2,1.66,14,54.77,21.44,63.6,1.7,11,100.98,35.07,38.5,1.94,14,31.88,37.39,48.0,1.08,26,178.3,34.56,2.4,-106.81
VRTX,820,61.7,2021-01-04,2026-04-17,1.34,18.75,33.3,0.21,12,3.56,14.72,50.0,0.48,8,-13.15,49.65,30.4,-0.69,23,-9.22,39.18,25.0,-0.69,28,23.52,19.24,1.09,-22.18
VST,629,58.5,2022-01-03,2026-04-17,105.92,28.56,71.4,2.45,7,82.81,29.6,80.0,2.2,5,93.48,28.56,40.0,2.12,10,41.68,29.51,50.0,1.45,18,125.58,36.46,2.17,-19.66
VTRS,438,40.7,2022-01-03,2026-04-17,13.24,18.38,50.0,0.89,5,1.23,18.24,20.0,0.19,5,7.1,30.56,40.0,0.48,11,-6.6,37.05,28.6,-0.44,15,27.31,25.28,1.07,-14.07
VZ,452,42.0,2022-01-03,2026-04-17,-5.13,16.43,25.0,-0.48,8,-3.97,10.33,50.0,-0.71,4,-16.99,35.6,20.0,-1.21,15,-5.39,16.75,30.8,-0.47,13,22.06,11.04,1.05,-27.19
WAB,729,67.8,2022-01-03,2026-04-17,9.92,15.84,35.7,0.91,15,9.75,11.51,50.0,1.07,10,21.56,16.92,33.3,1.4,13,6.73,11.47,47.8,0.71,24,40.36,13.55,1.93,-30.44
WAL,431,40.1,2022-01-03,2026-04-17,-4.44,21.91,20.0,-0.11,5,-12.43,27.6,12.5,-0.72,8,9.26,32.05,33.3,0.53,9,-20.19,45.46,12.5,-1.28,16,49.7,20.7,1.47,-54.14
WAT,343,31.9,2022-01-03,2026-04-17,-11.72,20.77,0.0,-1.44,4,-10.11,13.5,0.0,-1.98,3,-23.59,33.39,25.0,-1.54,8,-6.04,10.83,30.0,-0.42,10,7.06,17.11,0.44,-18.78
WBA,120,13.1,2022-01-03,2025-08-27,11.5,2.63,0.0,1.11,2,11.5,2.63,0.0,1.11,2,11.5,2.63,0.0,1.11,2,0.64,3.17,25.0,0.14,4,12.54,6.0,0.97,-1.04
WBD,345,34.2,2022-04-11,2026-04-17,4.39,33.12,25.0,0.36,4,22.2,19.34,33.3,1.28,3,45.58,24.48,16.7,1.34,6,55.96,13.47,57.1,1.73,7,54.37,40.52,1.24,-49.98
WDAY,452,34.0,2021-01-04,2026-04-17,16.09,12.49,33.3,1.05,6,12.88,11.41,50.0,1.05,6,2.63,24.43,22.2,0.27,9,5.61,11.8,33.3,0.48,9,-4.66,42.66,0.11,20.75
WDC,492,45.7,2022-01-03,2026-04-17,110.47,22.5,37.5,2.31,9,96.84,20.1,57.1,2.2,8,172.85,27.54,83.3,2.8,7,31.92,22.8,44.4,1.26,19,271.0,21.26,3.28,-160.53
WEC,414,38.5,2022-01-03,2026-04-17,7.16,9.78,28.6,0.8,7,-1.27,14.76,37.5,-0.09,8,3.84,14.98,40.0,0.41,11,7.29,8.33,50.0,0.93,10,25.19,9.52,1.72,-18.03
WELL,763,70.9,2022-01-03,2026-04-17,11.23,16.54,58.3,0.97,13,7.8,17.13,50.0,0.81,10,15.78,19.17,57.1,1.08,15,12.81,16.06,40.9,1.16,23,45.29,12.99,2.29,-34.06
WFC,589,54.7,2022-01-03,2026-04-17,0.14,27.61,20.0,0.1,15,-0.88,18.07,20.0,0.0,10,-0.31,22.09,40.0,0.1,15,-3.62,21.81,36.8,-0.24,19,33.99,18.94,1.41,-33.85
WM,584,54.3,2022-01-03,2026-04-17,-3.81,25.9,30.0,-0.35,10,-1.2,22.8,33.3,-0.1,6,-6.93,27.86,18.8,-0.47,16,-6.74,26.22,45.0,-0.67,20,17.91,11.86,1.14,-21.72
WMB,687,63.8,2022-01-03,2026-04-17,2.94,22.19,38.5,0.34,13,4.27,22.01,57.1,0.48,7,7.56,34.18,27.8,0.58,18,-2.05,31.63,30.4,-0.08,23,39.49,12.17,1.95,-36.55
WRB,624,58.0,2022-01-03,2026-04-17,-2.7,25.35,23.1,-0.16,13,-3.02,24.62,28.6,-0.28,7,4.66,16.44,31.2,0.4,16,0.89,16.0,50.0,0.16,20,21.78,17.08,1.13,-24.48
WSM,554,51.5,2022-01-03,2026-04-17,19.13,25.12,55.6,0.93,9,21.92,22.61,62.5,1.12,8,11.75,40.04,42.9,0.6,14,-8.17,36.39,36.8,-0.32,19,72.96,24.83,1.69,-53.83
WST,289,26.9,2022-01-03,2026-04-17,-10.68,14.47,0.0,-1.19,4,-6.35,9.7,0.0,-1.33,4,-9.44,23.57,42.9,-0.6,7,-10.71,18.35,14.3,-1.5,7,-18.82,39.55,-0.52,8.14
WY,182,16.9,2022-01-03,2026-04-17,-12.54,10.96,0.0,-2.93,2,-2.61,4.31,0.0,-0.78,1,-7.42,9.3,33.3,-0.72,3,-2.93,5.81,33.3,-0.34,3,-25.96,27.95,-1.21,13.42
WYNN,406,37.7,2022-01-03,2026-04-17,-3.6,19.6,25.0,-0.2,4,-1.48,19.19,25.0,-0.04,4,-6.74,26.94,20.0,-0.24,10,-24.26,39.47,20.0,-2.07,15,22.43,21.17,0.94,-26.03
XEL,411,38.2,2022-01-03,2026-04-17,-1.19,13.68,50.0,-0.09,8,-6.39,16.82,14.3,-0.89,7,6.07,15.91,55.6,0.52,10,0.43,22.76,38.5,0.12,13,24.5,12.38,1.47,-25.69
XOM,529,49.2,2022-01-03,2026-04-17,0.69,21.6,33.3,0.14,9,2.53,11.25,20.0,0.35,5,-2.36,36.85,23.1,-0.03,13,-5.38,34.03,23.5,-0.34,17,26.25,14.6,1.25,-25.56
XYL,549,51.0,2022-01-03,2026-04-17,-5.53,14.22,14.3,-0.69,7,-7.48,16.72,14.3,-1.16,7,-5.8,27.91,31.2,-0.28,16,-9.14,23.97,23.5,-0.84,17,22.42,16.29,1.19,-27.95
YUM,593,55.1,2022-01-03,2026-04-17,-8.7,23.78,0.0,-1.0,8,-4.53,17.42,25.0,-0.58,4,-19.02,41.25,12.0,-1.62,26,-14.81,36.83,12.5,-1.71,25,13.0,13.55,0.87,-21.7
ZBH,220,20.4,2022-01-03,2026-04-17,-3.26,7.58,50.0,-0.35,4,-6.68,9.79,0.0,-1.1,3,1.71,7.88,40.0,0.24,5,6.38,6.23,50.0,0.8,4,-17.53,29.55,-0.86,14.27
ZS,427,39.7,2022-01-03,2026-04-17,27.96,15.45,44.4,1.62,9,23.48,8.9,100.0,1.72,2,7.35,39.67,27.3,0.46,11,7.33,19.01,46.2,0.57,13,52.31,27.1,1.49,-24.35
ZTS,278,25.8,2022-01-03,2026-04-17,-8.72,12.47,20.0,-1.08,5,-6.71,7.64,0.0,-1.08,2,-19.83,27.89,20.0,-1.41,10,-16.72,26.03,33.3,-1.47,9,6.55,13.58,0.44,-15.27
