date,open,last,high,low,volume,close
2025-07-17,66.324,66.833,67.491,66.164,6211307,
2025-07-18,67.67,67.81,68.328,67.082,4275307,
2025-07-21,67.999,68.548,68.578,67.511,4128038,
2025-07-22,68.338,66.872,68.578,65.855,5096706,
2025-07-23,67.421,69.126,69.405,67.391,7210623,
2025-07-24,69.006,68.827,69.425,68.149,8054280,
2025-07-25,69.056,68.628,69.525,66.324,7880376,
2025-07-28,69.206,68.797,69.425,68.478,4508865,
2025-07-29,69.256,70.413,71.111,69.216,8861358,
2025-07-30,69.256,71.23,71.609,69.106,13984025,
2025-07-31,74.042,78.47,78.58,73.045,24012721,
2025-08-01,75.498,76.336,76.805,74.282,8789789,
2025-08-04,77.553,77.074,77.802,75.837,5097441,
2025-08-05,77.722,75.628,77.991,74.002,5898439,
2025-08-06,75.718,73.574,76.246,73.304,7647042,
2025-08-07,73.504,74.232,74.411,73.235,6938344,
2025-08-08,74.72,74.76,75.588,74.282,4983830,
2025-08-11,75.109,74.431,76.456,74.162,7304259,
2025-08-12,74.691,75.698,75.718,74.411,7694755,
2025-08-13,76.067,75.857,76.964,75.458,5298719,
2025-08-14,75.069,76.027,76.396,74.511,6621516,
2025-08-15,76.286,74.85,76.366,74.332,4258515,
2025-08-18,74.581,76.077,76.206,74.421,5191856,
2025-08-19,75.688,75.648,76.246,74.9,3770844,
2025-08-20,75.468,75.428,75.468,72.935,5478307,
2025-08-21,75.538,74.451,75.787,74.212,5490564,
2025-08-22,74.571,76.755,77.134,74.361,6521653,
2025-08-25,76.755,78.998,79.617,76.486,5401371,
2025-08-26,78.879,79.487,80.075,78.879,8724764,
2025-08-27,80.026,80.444,80.574,79.328,5536581,
2025-08-28,80.674,81.811,81.93,80.474,4557500,
2025-08-29,81.342,80.115,82.09,79.577,5004446,
2025-09-02,78.3,81.681,81.711,77.682,5777791,
2025-09-03,83.865,85.76,86.039,83.107,12194810,
2025-09-04,86.252,90.345,90.755,85.783,13542546,
2025-09-05,92.342,91.893,92.951,91.284,20310357,
2025-09-08,92.392,93.141,93.351,91.504,8499368,
2025-09-09,92.851,94.389,95.218,92.552,7195030,
2025-09-10,95.737,94.868,96.026,93.77,8398437,
2025-09-11,96.715,95.996,97.624,94.259,6985090,
2025-09-12,96.056,97.504,98.702,95.827,6753128,
2025-09-15,100.289,102.226,103.614,99.84,12523274,
2025-09-16,102.366,102.925,103.814,101.278,8734852,
2025-09-17,102.067,100.779,102.236,99.561,8787619,
2025-09-18,102.296,104.982,105.94,101.837,10389065,
2025-09-19,105.711,106.46,107.009,105.152,11030712,
2025-09-22,107.039,112.23,112.65,107.039,9686251,
2025-09-23,112.3,110.074,113.578,109.225,7375492,
2025-09-24,110.663,109.515,112.63,108.736,8412662,
2025-09-25,106.45,107.039,108.526,106.12,8499398,
2025-09-26,107.298,106.709,107.887,105.251,5520034,
2025-09-29,111.841,116.553,117.951,111.651,14023937,
2025-09-30,117.622,119.868,122.394,117.262,13861677,
2025-10-01,117.991,130.381,130.91,117.322,18540368,
2025-10-02,135.793,131.05,137.18,128.225,15306187,
2025-10-03,131.529,131.1,136.002,129.722,8465883,
2025-10-06,134.784,125.08,135.982,124.74,13060318,
2025-10-07,127.266,119.738,127.436,117.622,13674282,
2025-10-08,120.577,120.986,123.103,119.219,7191700,
2025-10-09,119.589,119.509,120.647,117.811,6234317,
2025-10-10,119.808,115.235,121.755,114.846,7046192,
2025-10-13,122.055,118.67,122.364,115.825,8388922,
2025-10-14,115.924,112.949,117.093,112.34,7844193,
2025-10-15,116.513,120.247,120.447,113.319,9943256,
2025-10-16,123.073,125.719,130.192,122.204,13878591,
2025-10-17,124.67,125.998,128.914,123.253,6868360,
2025-10-20,128.734,121.336,131.789,119.658,10172198,
2025-10-21,121.276,121.216,121.795,119.409,4594429,
2025-10-22,120.976,120.277,124.92,117.043,9033809,
2025-10-23,121.755,125.519,126.517,121.525,7263499,
2025-10-24,129.193,129.223,133.327,128.824,6546406,
2025-10-27,132.787,126.468,132.887,123.023,7249286,
2025-10-28,126.497,124.72,126.617,121.655,7031914,
2025-10-29,131.22,141.154,145.447,131.04,18267279,
2025-10-30,137.54,137.909,141.773,134.794,13870670,
2025-10-31,155.251,149.97,157.398,139.926,20139877,
2025-11-03,151.827,157.767,159.954,147.813,13275428,
2025-11-04,151.098,151.937,154.932,149.78,8870901,
2025-11-05,152.955,159.844,165.126,152.735,9749041,
2025-11-06,159.734,163.338,167.232,159.545,8419228,
2025-11-07,159.505,162.699,162.979,152.566,9652820,
2025-11-10,169.698,173.941,175.948,169.049,11230739,
2025-11-11,171.276,169.718,178.165,169.369,9244008,
2025-11-12,169.459,165.844,175.339,164.766,9868282,
