date,unit_nav
2024-01-26,1.1115
2024-01-29,1.0987
2024-01-30,1.0808
2024-01-31,1.0588
2024-02-01,1.0589
2024-02-02,1.0581
2024-02-05,1.0478
2024-02-06,1.0874
2024-02-07,1.0856
2024-02-08,1.1266
2024-02-19,1.1458
2024-02-20,1.1367
2024-02-21,1.1327
2024-02-22,1.1574
2024-02-23,1.1584
2024-02-26,1.1641
2024-02-27,1.1842
2024-02-28,1.1813
2024-02-29,1.2074
2024-03-01,1.2172
2024-03-04,1.2493
2024-03-05,1.2468
2024-03-06,1.2401
2024-03-07,1.2254
2024-03-08,1.253
2024-03-11,1.2517
2024-03-12,1.2614
2024-03-13,1.2561
2024-03-14,1.2396
2024-03-15,1.2309
2024-03-18,1.2531
2024-03-19,1.232
2024-03-20,1.2385
2024-03-21,1.2607
2024-03-22,1.2555
2024-03-25,1.243
2024-03-26,1.2594
2024-03-27,1.2578
2024-03-28,1.2848
2024-03-29,1.2944
2024-04-01,1.3121
2024-04-02,1.3138
2024-04-03,1.2959
2024-04-08,1.2716
2024-04-09,1.2702
2024-04-10,1.2574
2024-04-11,1.2749
2024-04-12,1.2812
2024-04-15,1.2855
2024-04-16,1.2393
2024-04-17,1.2499
2024-04-18,1.2599
2024-04-19,1.2209
2024-04-22,1.198
2024-04-23,1.1914
2024-04-24,1.2382
2024-04-25,1.2147
2024-04-26,1.2389
2024-04-29,1.256
2024-04-30,1.2432
2024-05-06,1.2506
2024-05-07,1.2781
2024-05-08,1.273
2024-05-09,1.2748
2024-05-10,1.2526
2024-05-13,1.2507
2024-05-14,1.256
2024-05-15,1.2486
2024-05-16,1.2631
2024-05-17,1.2604
2024-05-20,1.2649
2024-05-21,1.2607
2024-05-22,1.2716
2024-05-23,1.2647
2024-05-24,1.2358
2024-05-27,1.2671
2024-05-28,1.2844
2024-05-29,1.2766
2024-05-30,1.2676
2024-05-31,1.2505
2024-06-03,1.2603
2024-06-04,1.2623
2024-06-05,1.2802
2024-06-06,1.2805
2024-06-07,1.296
2024-06-11,1.3103
2024-06-12,1.3299
2024-06-13,1.3603
2024-06-14,1.3497
2024-06-17,1.3629
2024-06-18,1.3777
2024-06-19,1.3799
2024-06-20,1.3889
2024-06-21,1.3792
2024-06-24,1.3525
2024-06-25,1.3273
2024-06-26,1.3522
2024-06-27,1.341
2024-06-28,1.348
2024-06-30,1.3479
2024-07-01,1.3493
2024-07-02,1.3265
2024-07-03,1.3317
2024-07-04,1.3342
2024-07-05,1.348
2024-07-08,1.3521
2024-07-09,1.3825
2024-07-10,1.3783
2024-07-11,1.3852
2024-07-12,1.3761
2024-07-15,1.3853
2024-07-16,1.4164
2024-07-17,1.3834
2024-07-18,1.3788
2024-07-19,1.3831
2024-07-22,1.3624
2024-07-23,1.3281
2024-07-24,1.3218
2024-07-25,1.2845
2024-07-26,1.2922
2024-07-29,1.285
2024-07-30,1.2793
2024-07-31,1.3229
2024-08-01,1.3253
2024-08-02,1.2616
2024-08-05,1.1676
2024-08-06,1.192
2024-08-07,1.1939
2024-08-08,1.1897
2024-08-09,1.2086
2024-08-12,1.2239
2024-08-13,1.2321
2024-08-14,1.2391
2024-08-15,1.2447
2024-08-16,1.2707
2024-08-19,1.2614
2024-08-20,1.2723
2024-08-21,1.263
2024-08-22,1.2439
2024-08-23,1.2265
2024-08-26,1.215
2024-08-27,1.1986
2024-08-28,1.2129
2024-08-29,1.1898
2024-08-30,1.2183
2024-09-02,1.1875
2024-09-03,1.1778
2024-09-04,1.1396
2024-09-05,1.1334
2024-09-06,1.1187
2024-09-09,1.1129
2024-09-10,1.1105
2024-09-11,1.1047
2024-09-12,1.1222
2024-09-13,1.1083
2024-09-18,1.1044
2024-09-19,1.0957
2024-09-20,1.0965
2024-09-23,1.0946
2024-09-24,1.1255
2024-09-25,1.1309
2024-09-26,1.1828
2024-09-27,1.2367
2024-09-30,1.3246
2024-10-08,1.4462
2024-10-09,1.4802
2024-10-10,1.428
2024-10-11,1.3786
2024-10-14,1.416
2024-10-15,1.3987
2024-10-16,1.3633
2024-10-17,1.3786
2024-10-18,1.4631
2024-10-21,1.4869
2024-10-22,1.4573
2024-10-23,1.4575
2024-10-24,1.4468
2024-10-25,1.4494
2024-10-28,1.4473
2024-10-29,1.4465
2024-10-30,1.4316
2024-10-31,1.4456
2024-11-01,1.4054
2024-11-04,1.4381
2024-11-05,1.4783
2024-11-06,1.4839
2024-11-07,1.52
2024-11-08,1.5224
2024-11-11,1.5618
2024-11-12,1.5137
2024-11-13,1.5037
2024-11-14,1.4565
2024-11-15,1.4322
2024-11-18,1.4138
2024-11-19,1.4414
2024-11-20,1.4367
2024-11-21,1.4435
2024-11-22,1.4088
2024-11-25,1.3988
2024-11-26,1.3913
