date,unit_nav,daily_return_pct
2024-02-02,0.7177,-3.56
2024-02-05,0.6833,-4.79
2024-02-06,0.7321,7.14
2024-02-07,0.757,3.4
2024-02-08,0.7826,3.38
2024-02-19,0.796,1.71
2024-02-20,0.7989,0.36
2024-02-21,0.8004,0.19
2024-02-22,0.8137,1.66
2024-02-23,0.8303,2.04
2024-02-26,0.8706,4.85
2024-02-27,0.8861,1.78
2024-02-28,0.8349,-5.78
2024-02-29,0.8769,5.03
2024-03-01,0.8959,2.17
2024-03-04,0.9018,0.66
2024-03-05,0.8909,-1.21
2024-03-06,0.9042,1.49
2024-03-07,0.8955,-0.96
2024-03-08,0.9089,1.5
2024-03-11,0.9204,1.27
2024-03-12,0.9207,0.03
2024-03-13,0.92,-0.08
2024-03-14,0.9164,-0.39
2024-03-15,0.9369,2.24
2024-03-18,0.9544,1.87
2024-03-19,0.945,-0.98
2024-03-20,0.9454,0.04
2024-03-21,0.9424,-0.32
2024-03-22,0.9264,-1.7
2024-03-25,0.9044,-2.37
2024-03-26,0.8987,-0.63
2024-03-27,0.866,-3.64
2024-03-28,0.8933,3.15
2024-03-29,0.9049,1.3
2024-04-01,0.9243,2.14
2024-04-02,0.9206,-0.4
2024-04-03,0.9089,-1.27
2024-04-08,0.8929,-1.76
2024-04-09,0.9014,0.95
2024-04-10,0.898,-0.38
2024-04-11,0.9021,0.46
2024-04-12,0.8962,-0.65
2024-04-15,0.8866,-1.07
2024-04-16,0.8424,-4.99
2024-04-17,0.8832,4.84
2024-04-18,0.8842,0.11
2024-04-19,0.8703,-1.57
2024-04-22,0.8605,-1.13
2024-04-23,0.8558,-0.55
2024-04-24,0.8731,2.02
2024-04-25,0.8709,-0.25
2024-04-26,0.8908,2.28
2024-04-29,0.912,2.38
2024-04-30,0.9012,-1.18
2024-05-06,0.9258,2.73
2024-05-07,0.9251,-0.08
2024-05-08,0.9099,-1.64
2024-05-09,0.9245,1.6
2024-05-10,0.9082,-1.76
2024-05-13,0.896,-1.34
2024-05-14,0.8984,0.27
2024-05-15,0.8914,-0.78
2024-05-16,0.8883,-0.35
2024-05-17,0.8999,1.31
2024-05-20,0.9072,0.81
2024-05-21,0.8959,-1.25
2024-05-22,0.9004,0.5
2024-05-23,0.8796,-2.31
2024-05-24,0.8639,-1.78
2024-05-27,0.8751,1.3
2024-05-28,0.8661,-1.03
2024-05-29,0.8661,0.0
2024-05-30,0.8639,-0.25
2024-05-31,0.8718,0.91
2024-06-03,0.8614,-1.19
2024-06-04,0.8603,-0.13
2024-06-05,0.8486,-1.36
2024-06-06,0.833,-1.84
2024-06-07,0.8318,-0.14
2024-06-11,0.8359,0.49
2024-06-12,0.8457,1.17
2024-06-13,0.8473,0.19
2024-06-14,0.8465,-0.09
2024-06-17,0.848,0.18
2024-06-18,0.8557,0.91
2024-06-19,0.8424,-1.55
2024-06-20,0.8252,-2.04
2024-06-21,0.8233,-0.23
2024-06-24,0.7984,-3.02
2024-06-25,0.8016,0.4
2024-06-26,0.8171,1.93
2024-06-27,0.7989,-2.23
2024-06-28,0.8103,1.43
2024-06-30,0.8103,0.0
2024-07-01,0.8122,0.23
2024-07-02,0.7973,-1.83
2024-07-03,0.7856,-1.47
2024-07-04,0.7767,-1.13
2024-07-05,0.7778,0.14
2024-07-08,0.7576,-2.6
2024-07-09,0.7755,2.36
2024-07-10,0.7741,-0.18
2024-07-11,0.7938,2.54
2024-07-12,0.7807,-1.65
2024-07-15,0.7672,-1.73
2024-07-16,0.7745,0.95
2024-07-17,0.7655,-1.16
2024-07-18,0.7731,0.99
2024-07-19,0.7764,0.43
2024-07-22,0.7786,0.28
2024-07-23,0.7527,-3.33
2024-07-24,0.7431,-1.28
2024-07-25,0.7401,-0.4
2024-07-26,0.7597,2.65
2024-07-29,0.7544,-0.7
