| date | open | last | high | low | volume | amount | exchange |
| 2026-02-18 | 6855.48 | 6881.31 | 6909.12 | 6849.66 | 3039483897 | 20915630935265 | 0 |
| 2026-02-17 | 6819.86 | 6843.22 | 6866.99 | 6775.5 | 3297532611 | 22565741114247 | 0 |
| 2026-02-13 | 6834.27 | 6836.17 | 6881.96 | 6794.55 | 3419160612 | 23373963200936 | 0 |
| 2026-02-12 | 6957.54 | 6832.76 | 6973.22 | 6824.04 | 4529538927 | 30949252398849 | 0 |
| 2026-02-11 | 6976.48 | 6941.47 | 6993.48 | 6911.97 | 3743710728 | 25986855707090 | 0 |
| 2026-02-10 | 6974.49 | 6941.81 | 6986.83 | 6937.53 | 3494760616 | 24259964191755 | 0 |
| 2026-02-09 | 6917.26 | 6964.82 | 6980.1 | 6905.87 | 3363942486 | 23429253905343 | 0 |
| 2026-02-06 | 6816.74 | 6932.3 | 6944.89 | 6816.74 | 3842633801 | 26638290298672 | 0 |
| 2026-02-05 | 6837.39 | 6798.4 | 6857.85 | 6780.13 | 4330553016 | 29440831623974 | 0 |
| 2026-02-04 | 6924.5 | 6882.72 | 6936.09 | 6838.8 | 5124778011 | 35272412111870 | 0 |
| 2026-02-03 | 6985.45 | 6917.81 | 6993.08 | 6862.05 | 4509153173 | 31193464911711 | 0 |
| 2026-02-02 | 6916.64 | 6976.44 | 6991.92 | 6914.34 | 3598308215 | 25103381363455 | 0 |
| 2026-01-30 | 6947.27 | 6939.03 | 6964.09 | 6893.48 | 4261589883 | 29571300045833 | 0 |
| 2026-01-29 | 6977.74 | 6969.01 | 6992.84 | 6870.8 | 4116060486 | 28684866687539 | 0 |
| 2026-01-28 | 7002 | 6978.03 | 7002.28 | 6963.46 | 3337820014 | 23291408192292 | 0 |
| 2026-01-27 | 6965.96 | 6978.6 | 6988.82 | 6958.83 | 3227767584 | 22525298861702 | 0 |
| 2026-01-26 | 6923.23 | 6950.23 | 6964.66 | 6921.6 | 2988481117 | 20770631113807 | 0 |
| 2026-01-23 | 6907.85 | 6915.61 | 6932.96 | 6895.5 | 3228233542 | 22325204165391 | 0 |
| 2026-01-22 | 6914.44 | 6913.35 | 6934.75 | 6893.62 | 3309135655 | 22877212980494 | 0 |
| 2026-01-21 | 6810.71 | 6875.62 | 6910.39 | 6804.96 | 3815060468 | 26230906054990 | 0 |
| 2026-01-20 | 6865.24 | 6796.86 | 6871.17 | 6789.05 | 3891978612 | 26453233748758 | 0 |
| 2026-01-16 | 6960.54 | 6940.01 | 6967.3 | 6925.09 | 3990934078 | 27697122410661 | 0 |
| 2026-01-15 | 6969.46 | 6944.47 | 6979.34 | 6937.93 | 3127477579 | 21718674223038 | 0 |
| 2026-01-14 | 6937.41 | 6926.6 | 6941.3 | 6885.74 | 3368124418 | 23329650593719 | 0 |
| 2026-01-13 | 6977.41 | 6963.74 | 6985.83 | 6938.77 | 3224138595 | 22452062899545 | 0 |
| 2026-01-12 | 6944.12 | 6977.27 | 6986.33 | 6934.07 | 3030692220 | 21145957905839 | 0 |
| 2026-01-09 | 6927.83 | 6966.28 | 6978.36 | 6917.64 | 2965821560 | 20660743416997 | 0 |
| 2026-01-08 | 6914.11 | 6921.46 | 6931.28 | 6899.33 | 3184872055 | 22043964533800 | 0 |
| 2026-01-07 | 6945.07 | 6920.93 | 6965.69 | 6919.19 | 3236959017 | 22402766769526 | 0 |
| 2026-01-06 | 6908.03 | 6944.82 | 6948.69 | 6904.02 | 3321270692 | 23065627127215 | 0 |
| 2026-01-05 | 6892.19 | 6902.05 | 6920.38 | 6891.56 | 3473387045 | 23973491053942 | 0 |
| 2026-01-02 | 6878.11 | 6858.47 | 6894.87 | 6824.31 | 2633650179 | 18062810743166 | 0 |
| 2025-12-31 | 6898.82 | 6845.5 | 6901.42 | 6844.55 | 1711313425 | 11714796050838 | 0 |
