code,name,price,pe_inv,pb_inv,ps_inv,pcf_inv,dividend,chg_5d,chg_10d,chg_20d,chg_60d,chg_ytd,turnover,market_cap,volume_ratio,value_score,quality_score,growth_score,momentum_score,volatility_score,liquidity_score,combined_factor,weight
sh600970,中材国际,10.12,0.10787486515641856,0.8620689655172414,1.8867924528301885,0.06720430107526881,4.48,-4.17,-6.38,-1.08,-6.21,-2.6,0.54,26533000000.0,0.65,1.5198611396099226,1.4154170957237595,0.42254077757526665,1.3432911865698391,0.8887925207945492,-1.3919609497029184,0.8363891334387359,0.019004412869113814
sh600008,首创环保,3.05,0.0791139240506329,0.9259259259259258,0.8403361344537815,0.1680672268907563,6.89,0.33,-2.56,-6.15,0.0,3.04,0.91,22389000000.0,1.16,1.589353315609786,1.6853677789288064,-0.05828148656210592,0.7606362925346646,1.6391665342522421,-0.896925850280261,0.8272170681146029,0.018459162328098012
sz002797,第一创业,7.56,0.032520325203252036,0.5376344086021505,0.1295336787564767,0.14388489208633093,0.98,-5.03,-3.2,0.67,7.54,10.04,3.23,31770000000.0,0.86,0.373016067302494,0.029183857643788644,-0.5536741223400048,2.135776781993887,1.0126406589380517,0.39959464820765117,0.8083580671132503,0.01738670850745122
sh601866,中远海发,2.68,0.04549590536851683,0.8695652173913044,0.7142857142857143,0.14662756598240467,1.53,-1.47,-7.59,-3.6,3.08,6.35,0.73,35370000000.0,0.85,1.26027423700398,0.4961255799444104,-0.3351185477321082,1.6430493314110866,1.0854925049048179,-0.36888841089609353,0.800885185045662,0.01697919134443164
sz002508,老板电器,19.0,0.08532423208191126,0.6369426751592356,0.6211180124223602,0.10384215991692626,5.26,-4.95,-5.94,-4.38,-4.76,-1.81,0.66,17954000000.0,1.22,1.2979345130297124,1.561336383942704,0.30597780445105516,1.5250195618798457,0.6046703215241603,-1.7455574492905306,0.7936945175108934,0.016596084105939154
sh601928,凤凰传媒,9.54,0.07396449704142012,0.819672131147541,0.5076142131979695,0.06329113924050632,6.29,-3.93,-2.85,-1.55,-5.45,-4.98,0.2,24278000000.0,0.44,1.1477417455461358,1.670775850106912,0.6046704230818474,1.1016111822915837,1.3550443349818535,-1.7911321092373786,0.7641014459615414,0.015108297487023187
sh600339,中油工程,3.83,0.016658337497917706,1.25,4.761904761904762,0.28328611898017,1.25,-1.79,-14.51,-7.04,6.39,14.33,1.9,21383000000.0,1.01,1.1522251117396756,0.27724664761599405,-0.8013704402289544,2.0008856168153257,-0.3169055299554334,0.3053022483176211,0.7625165215579521,0.015032489905203332
sh601799,星宇股份,124.58,0.045641259698767686,0.3205128205128205,0.4291845493562232,0.06844626967830253,1.2,-6.4,-3.58,2.23,2.54,0.98,0.65,35590000000.0,0.58,0.4106763433282265,0.22252691453388976,0.08742222984315859,2.002759105220583,1.2384813814350273,-0.5197562507201405,0.7615614894919843,0.014986994110303943
sz300207,欣旺达,27.75,0.015311590874291839,0.4807692307692307,1.3157894736842106,0.04246284501061571,0.75,-5.58,-3.07,-0.07,13.45,6.12,9.31,51266999999.99999,1.67,0.23179003220599698,-0.2115829679174694,-0.3132629902713187,2.3587219022195636,0.3569740452371548,0.31944610830112574,0.7523565036550273,0.01455548537440649
sh600988,赤峰黄金,40.69,0.03985651654045436,0.1736111111111111,0.16339869281045752,0.07183908045977011,0.39,-6.29,-9.74,9.09,5.99,30.25,2.12,77328000000.0,0.89,-0.21251155757377707,-0.6493408325743023,-1.2676223327258007,2.4917395789928674,-0.4006851528172146,2.0497116462831753,0.7264029719351079,0.013404580052151421
sz002608,江苏国信,7.7,0.11904761904761904,1.2048192771084338,1.1904761904761905,0.22075055187637968,1.3,-4.11,-4.23,-11.9,-0.77,4.19,0.55,29091000000.000004,0.8,1.8735987322801972,0.2991345408488355,-0.13113334476473798,1.6861395647320154,0.4735369987839808,-1.1468007099888404,0.7089288463349996,0.012681407630810208
sz002958,青农商行,3.03,0.1763668430335097,2.1739130434782608,0.6289308176100629,0.5649717514124294,3.96,1.34,1.34,-2.88,-1.94,-2.26,1.48,16834000000.0,1.37,1.8892905139575855,1.3388094694088137,0.3642592910131613,0.02622883767360953,1.682877641832302,-0.36888841089609353,0.7084045539276157,0.01266032328374154
sz001286,陕西能源,11.42,0.07457121551081282,0.641025641025641,0.5494505494505494,0.20366598778004072,3.15,3.07,5.06,0.35,16.17,22.66,1.65,42825000000.0,0.72,1.3387331453909233,1.15276237692966,-1.019926014836851,0.44963721726187067,0.10199258435347267,1.413237947025474,0.6864459613786149,0.011808039751258027
sz000088,盐 田 港,4.47,0.06349206349206349,0.7936507936507936,0.03790750568612585,0.02066115702479339,4.88,-1.76,-3.66,-3.66,-1.11,0.45,0.73,23242000000.0,1.08,0.2703469814704368,1.4956727042441789,0.11292038021407987,1.1840446721229265,1.580885057478829,-1.2175200099063628,0.6816525319896157,0.011629758699958087
sh600754,锦江酒店,25.91,0.03350083752093802,0.5780346820809249,0.5,0.11947431302270013,1.47,-4.25,-5.75,-4.88,-5.58,2.53,1.23,27627999999.999996,0.91,0.762620589521085,0.4414058468623065,-0.014570371640526528,1.3901283967012845,0.5245332909607172,0.041283528625536935,0.676901598036859,0.011455714339427723
sh601577,长沙银行,9.83,0.20746887966804978,1.7543859649122808,0.6622516556291391,1.2658227848101264,6.31,3.58,4.24,1.76,5.7,1.34,0.48,39532000000.0,1.27,1.9009472660607885,1.6780718145178593,0.0655666723823687,0.07493953621031205,1.1801999046616143,-0.7036264305057001,0.6622710068043269,0.010935933436903437
sz002128,电投能源,32.74,0.07987220447284345,0.5405405405405405,0.42194092827004215,0.13812154696132597,3.36,-2.79,3.61,9.94,13.96,18.58,0.56,73389000000.0,0.79,1.130256617391332,1.1855942167789224,-0.8960778558923764,1.247743277901692,-0.3424036760438016,0.0177104286530292,0.6597887304393283,0.010850115755065465
sh601333,广深铁路,3.02,0.06666666666666667,1.3157894736842106,1.3333333333333333,0.16181229773462785,2.32,-0.66,-2.27,-4.13,-1.63,-0.66,0.81,21392000000.0,1.24,1.6669155507580216,0.8609238004917712,0.24041113206868628,0.7175460592137357,1.6683072726389487,-1.1798030499503513,0.6513872934543891,0.010564625630136451
sh600098,广州发展,7.08,0.09345794392523366,1.0989010989010988,2.0408163265306123,0.22624434389140272,5.23,1.0,-1.12,-15.31,2.46,8.26,0.81,24822000000.0,1.01,1.8673220196092413,1.5467444551208092,-0.4516815208563197,0.5995162896824948,0.6265258753141901,-0.9204989502527687,0.6487116737781682,0.010475291746551018
sh600153,建发股份,8.95,0.07849293563579278,2.127659574468085,25.0,1.2345679012345678,5.64,-0.56,1.82,-1.1,-1.0,-1.1,0.44,25951000000.0,0.88,1.9861312237380397,1.6051121704083873,0.26955187534973896,0.2547944231150606,1.7193035648156851,-1.6685519893803398,0.6439831901863933,0.010319259735468793
sz002966,苏州银行,8.68,0.1383125864453665,1.2658227848101264,0.3194888178913738,0.38167938931297707,4.72,0.12,5.6,3.21,8.23,4.7,0.55,38805000000.0,1.0,1.6140118296742545,1.4409529711620748,-0.17484445968631737,0.4065469839409418,0.9434314052696237,-0.5763316906541591,0.6426654048260424,0.010276190639887677
sh600598,北大荒,15.91,0.041237113402061855,0.28328611898017,0.18484288354898337,0.043859649122807015,3.46,-1.49,-1.12,0.57,2.84,6.42,1.0,28283000000.0,0.78,-0.022416830967698045,1.2220740388336584,-0.3424037335523714,1.019177692460241,1.6974480110256551,-0.31231297096207494,0.6354630729626664,0.010043953636718544
sz002831,裕同科技,37.05,0.04325259515570934,0.33783783783783783,0.5128205128205129,0.07423904974016332,2.74,1.12,-1.59,14.6,36.77,29.95,1.6,34105000000.0,0.7,0.5111037460635134,1.028730981943557,-1.2457667752650112,1.5137786314482975,-1.2603369352250573,0.9417759475753225,0.6272013688200191,0.009784013489946853
sh603049,中策橡胶,48.72,0.09891196834817013,0.5988023952095809,1.0638297872340425,0.05892751915144373,2.67,-1.04,-1.66,2.35,-14.51,-12.92,2.01,42605000000.0,0.59,1.2396507525136975,0.9886031776833474,1.2894778901865902,-0.7194195476189935,0.6629517982975733,1.6725420467230565,0.613966659984901,0.009381553576174253
sh601880,辽港股份,1.59,0.03486750348675035,1.075268817204301,0.30303030303030304,0.15151515151515152,1.5,-2.45,-4.22,-9.14,-2.45,-0.63,0.5,37479000000.0,1.12,0.9612337118948888,0.47058970450609516,0.2331259462484231,1.2589842083332385,0.8523665978111659,-0.7460580104562131,0.6126388130229508,0.009342099817155506
sh600170,上海建工,2.66,0.052328623757195186,1.3333333333333333,9.090909090909092,0.2777777777777778,2.26,-2.56,-2.92,-3.62,-9.22,0.38,1.36,23637000000.0,1.04,1.7099558662160017,0.8317399428479825,0.12384815894447482,0.3353544245411455,0.8377962286178128,-0.07186735124249936,0.6088320319341943,0.009229907817984629
sh600563,法拉电子,119.84,0.044208664898320066,0.2237136465324385,0.19762845849802374,0.04719207173194903,1.67,-5.89,-0.13,-11.15,3.68,14.19,2.57,26964000000.0,0.79,-0.07083718585792569,0.5800291706703034,-0.7940852544086913,1.5737302604165482,0.509962921767364,0.380736168229645,0.6061975263506503,0.00915305452093931
sh600998,九州通,5.41,0.10214504596527069,0.970873786407767,5.88235294117647,0.12547051442910917,3.66,2.85,0.93,7.13,3.05,5.66,0.84,27280000000.0,1.27,1.7821380619319884,1.2767937719157625,-0.26955187534973934,0.2566679115203177,1.3331887811918235,-0.6800533305331923,0.6040355281332758,0.009090463414522907
sh603816,顾家家居,29.11,0.07485029940119761,0.4424778761061947,0.8403361344537815,0.1160092807424594,4.74,-7.15,-11.47,-13.49,-13.85,-5.3,1.28,23912000000.0,1.72,1.114564835713943,1.4518969177784957,0.6410963521831636,0.693190709945384,-1.1000628740981715,-0.1095843111985109,0.6031870230251284,0.009066015813524784
sh600486,扬农化工,72.45,0.043782837127845885,0.390625,0.4048582995951417,0.07547169811320754,1.27,1.19,-9.44,0.03,-2.95,4.41,1.56,29366000000.000004,0.91,0.520070478450593,0.288190594232415,-0.1457037164052643,0.8393228055554923,1.3768998887718833,0.6117525479602192,0.6023280317114144,0.009041333049839837
